status,functions,description,state,url,type,templateid,lastchange,value,priority,triggerid,flags,comments,error,expression
0,"[{u'itemid': u'10010', u'function': u'avg', u'triggerid': u'10010', u'parameter': u'5m', u'functionid': u'13078'}]",Processor load is too high on {HOST.NAME},0,,0,0,0,0,2,10010,0,,,{13078}>5
0,"[{u'itemid': u'10013', u'function': u'avg', u'triggerid': u'10011', u'parameter': u'5m', u'functionid': u'13084'}]",Too many processes running on {HOST.NAME},0,,0,0,0,0,2,10011,0,,,{13084}>30
0,"[{u'itemid': u'17350', u'function': u'last', u'triggerid': u'10012', u'parameter': u'0', u'functionid': u'12580'}]",Lack of free swap space on {HOST.NAME},0,,0,0,0,0,2,10012,0,It probably means that the systems requires more physical memory.,,{12580}<50
0,"[{u'itemid': u'10019', u'function': u'diff', u'triggerid': u'10016', u'parameter': u'0', u'functionid': u'10199'}]",/etc/passwd has been changed on {HOST.NAME},0,,0,0,0,0,2,10016,0,,,{10199}>0
0,"[{u'itemid': u'10025', u'function': u'change', u'triggerid': u'10021', u'parameter': u'0', u'functionid': u'12583'}]",{HOST.NAME} has just been restarted,0,,0,0,0,0,1,10021,0,,,{12583}<0
0,"[{u'itemid': u'10055', u'function': u'last', u'triggerid': u'10041', u'parameter': u'0', u'functionid': u'10204'}]",Configured max number of processes is too low on {HOST.NAME},0,,0,0,0,0,1,10041,0,,,{10204}<256
0,"[{u'itemid': u'10056', u'function': u'last', u'triggerid': u'10042', u'parameter': u'0', u'functionid': u'12553'}]",Configured max number of opened files is too low on {HOST.NAME},0,,0,0,0,0,1,10042,0,,,{12553}<1024
0,"[{u'itemid': u'10057', u'function': u'diff', u'triggerid': u'10043', u'parameter': u'0', u'functionid': u'10208'}]",Hostname was changed on {HOST.NAME},0,,0,0,0,0,1,10043,0,,,{10208}>0
0,"[{u'itemid': u'10058', u'function': u'diff', u'triggerid': u'10044', u'parameter': u'0', u'functionid': u'10207'}]",Host information was changed on {HOST.NAME},0,,0,0,0,0,1,10044,0,,,{10207}>0
0,"[{u'itemid': u'10059', u'function': u'diff', u'triggerid': u'10045', u'parameter': u'0', u'functionid': u'12927'}]",Version of zabbix_agent(d) was changed on {HOST.NAME},0,,0,13026,0,0,1,10045,0,,,{12927}>0
0,"[{u'itemid': u'10020', u'function': u'nodata', u'triggerid': u'10047', u'parameter': u'5m', u'functionid': u'12550'}]",Zabbix agent on {HOST.NAME} is unreachable for 5 minutes,0,,0,13025,0,0,3,10047,0,,,{12550}=1
0,"[{u'itemid': u'10009', u'function': u'avg', u'triggerid': u'10190', u'parameter': u'5m', u'functionid': u'13082'}]",Too many processes on {HOST.NAME},0,,0,0,0,0,2,10190,0,,,{13082}>300
0,"[{u'itemid': u'22181', u'function': u'last', u'triggerid': u'13000', u'parameter': u'0', u'functionid': u'13195'}]",Lack of available memory on server {HOST.NAME},0,,0,0,0,0,3,13000,0,,,{13195}<900M
0,"[{u'itemid': u'22189', u'function': u'min', u'triggerid': u'13015', u'parameter': u'10m', u'functionid': u'12641'}]",Less than 25% free in the configuration cache,0,,0,0,0,0,3,13015,0,Consider increasing CacheSize in the zabbix_server.conf configuration file,,{12641}<25
0,"[{u'itemid': u'22396', u'function': u'min', u'triggerid': u'13017', u'parameter': u'10m', u'functionid': u'12651'}]",Less than 25% free in the text history cache,0,,0,0,0,0,3,13017,0,,,{12651}<25
0,"[{u'itemid': u'22185', u'function': u'min', u'triggerid': u'13019', u'parameter': u'10m', u'functionid': u'12649'}]",Less than 25% free in the trends cache,0,,0,0,0,0,3,13019,0,,,{12649}<25
0,"[{u'itemid': u'22219', u'function': u'min', u'triggerid': u'13023', u'parameter': u'10m', u'functionid': u'12653'}]",More than 100 items having missing data for more than 10 minutes,0,,0,0,0,0,2,13023,0,"zabbix[queue,10m] item is collecting data about how many items are missing data for more than 10 minutes (next parameter)",,{12653}>100
0,"[{u'itemid': u'22232', u'function': u'nodata', u'triggerid': u'13025', u'parameter': u'5m', u'functionid': u'12549'}]",Zabbix agent on {HOST.NAME} is unreachable for 5 minutes,0,,0,0,0,0,3,13025,0,,,{12549}=1
0,"[{u'itemid': u'22231', u'function': u'diff', u'triggerid': u'13026', u'parameter': u'0', u'functionid': u'12926'}]",Version of zabbix_agent(d) was changed on {HOST.NAME},0,,0,0,0,0,1,13026,0,,,{12926}>0
0,"[{u'itemid': u'22183', u'function': u'min', u'triggerid': u'13073', u'parameter': u'10m', u'functionid': u'12645'}]",Less than 25% free in the history cache,0,,0,0,0,0,3,13073,0,,,{12645}<25
0,"[{u'itemid': u'22191', u'function': u'min', u'triggerid': u'13074', u'parameter': u'10m', u'functionid': u'12646'}]",Less than 5% free in the value cache,0,,0,0,0,0,3,13074,0,,,{12646}<5
0,"[{u'itemid': u'23620', u'function': u'min', u'triggerid': u'13075', u'parameter': u'10m', u'functionid': u'12648'}]",Less than 5% free in the value cache,0,,0,13074,1449477820,0,3,13075,0,,,{12648}<5
0,"[{u'itemid': u'22424', u'function': u'avg', u'triggerid': u'13080', u'parameter': u'10m', u'functionid': u'13099'}]",Zabbix alerter processes more than 75% busy,0,,0,0,0,0,3,13080,0,,,({TRIGGER.VALUE}=0 and {13099}>75) or ({TRIGGER.VALUE}=1 and {13099}>65)
0,"[{u'itemid': u'22412', u'function': u'avg', u'triggerid': u'13081', u'parameter': u'10m', u'functionid': u'13101'}]",Zabbix configuration syncer processes more than 75% busy,0,,0,0,0,0,3,13081,0,,,({TRIGGER.VALUE}=0 and {13101}>75) or ({TRIGGER.VALUE}=1 and {13101}>65)
0,"[{u'itemid': u'22410', u'function': u'avg', u'triggerid': u'13082', u'parameter': u'10m', u'functionid': u'13103'}]",Zabbix db watchdog processes more than 75% busy,0,,0,0,0,0,3,13082,0,,,({TRIGGER.VALUE}=0 and {13103}>75) or ({TRIGGER.VALUE}=1 and {13103}>65)
0,"[{u'itemid': u'22430', u'function': u'avg', u'triggerid': u'13083', u'parameter': u'10m', u'functionid': u'13105'}]",Zabbix discoverer processes more than 75% busy,0,,0,0,0,0,3,13083,0,,,({TRIGGER.VALUE}=0 and {13105}>75) or ({TRIGGER.VALUE}=1 and {13105}>65)
0,"[{u'itemid': u'22422', u'function': u'avg', u'triggerid': u'13084', u'parameter': u'10m', u'functionid': u'13107'}]",Zabbix escalator processes more than 75% busy,0,,0,0,0,0,3,13084,0,,,({TRIGGER.VALUE}=0 and {13107}>75) or ({TRIGGER.VALUE}=1 and {13107}>65)
0,"[{u'itemid': u'22406', u'function': u'avg', u'triggerid': u'13085', u'parameter': u'10m', u'functionid': u'13109'}]",Zabbix history syncer processes more than 75% busy,0,,0,0,0,0,3,13085,0,,,({TRIGGER.VALUE}=0 and {13109}>75) or ({TRIGGER.VALUE}=1 and {13109}>65)
0,"[{u'itemid': u'22408', u'function': u'avg', u'triggerid': u'13086', u'parameter': u'30m', u'functionid': u'13111'}]",Zabbix housekeeper processes more than 75% busy,0,,0,0,0,0,3,13086,0,,,({TRIGGER.VALUE}=0 and {13111}>75) or ({TRIGGER.VALUE}=1 and {13111}>65)
0,"[{u'itemid': u'22402', u'function': u'avg', u'triggerid': u'13087', u'parameter': u'10m', u'functionid': u'13113'}]",Zabbix http poller processes more than 75% busy,0,,0,0,0,0,3,13087,0,,,({TRIGGER.VALUE}=0 and {13113}>75) or ({TRIGGER.VALUE}=1 and {13113}>65)
1,"[{u'itemid': u'22418', u'function': u'avg', u'triggerid': u'13088', u'parameter': u'1m', u'functionid': u'13198'}]",Zabbix icmp pinger processes more than 75% busy,0,,0,0,0,0,3,13088,0,,,({TRIGGER.VALUE}=0 and {13198}>75) or ({TRIGGER.VALUE}=1 and {13198}>65)
0,"[{u'itemid': u'22416', u'function': u'avg', u'triggerid': u'13089', u'parameter': u'10m', u'functionid': u'13117'}]",Zabbix ipmi poller processes more than 75% busy,0,,0,0,0,0,3,13089,0,,,({TRIGGER.VALUE}=0 and {13117}>75) or ({TRIGGER.VALUE}=1 and {13117}>65)
0,"[{u'itemid': u'22399', u'function': u'avg', u'triggerid': u'13091', u'parameter': u'10m', u'functionid': u'13123'}]",Zabbix poller processes more than 75% busy,0,,0,0,0,0,3,13091,0,,,({TRIGGER.VALUE}=0 and {13123}>75) or ({TRIGGER.VALUE}=1 and {13123}>65)
0,"[{u'itemid': u'22420', u'function': u'avg', u'triggerid': u'13092', u'parameter': u'10m', u'functionid': u'13125'}]",Zabbix proxy poller processes more than 75% busy,0,,0,0,0,0,3,13092,0,,,({TRIGGER.VALUE}=0 and {13125}>75) or ({TRIGGER.VALUE}=1 and {13125}>65)
0,"[{u'itemid': u'22414', u'function': u'min', u'triggerid': u'13093', u'parameter': u'10m', u'functionid': u'13029'}]",Zabbix self-monitoring processes more than 75% busy,0,,0,0,0,0,3,13093,0,,,({TRIGGER.VALUE}=0 and {13029}>75) or ({TRIGGER.VALUE}=1 and {13029}>65)
0,"[{u'itemid': u'22426', u'function': u'avg', u'triggerid': u'13094', u'parameter': u'10m', u'functionid': u'13129'}]",Zabbix timer processes more than 75% busy,0,,0,0,0,0,3,13094,0,,,({TRIGGER.VALUE}=0 and {13129}>75) or ({TRIGGER.VALUE}=1 and {13129}>65)
0,"[{u'itemid': u'22404', u'function': u'avg', u'triggerid': u'13095', u'parameter': u'10m', u'functionid': u'13131'}]",Zabbix trapper processes more than 75% busy,0,,0,0,0,0,3,13095,0,,,({TRIGGER.VALUE}=0 and {13131}>75) or ({TRIGGER.VALUE}=1 and {13131}>65)
0,"[{u'itemid': u'22400', u'function': u'avg', u'triggerid': u'13096', u'parameter': u'10m', u'functionid': u'13133'}]",Zabbix unreachable poller processes more than 75% busy,0,,0,0,0,0,3,13096,0,,,({TRIGGER.VALUE}=0 and {13133}>75) or ({TRIGGER.VALUE}=1 and {13133}>65)
0,"[{u'itemid': u'22401', u'function': u'avg', u'triggerid': u'13097', u'parameter': u'10m', u'functionid': u'13135'}]",Zabbix vmware collector processes more than 75% busy,0,,0,0,0,0,3,13097,0,,,({TRIGGER.VALUE}=0 and {13135}>75) or ({TRIGGER.VALUE}=1 and {13135}>65)
0,"[{u'itemid': u'17362', u'function': u'avg', u'triggerid': u'13243', u'parameter': u'5m', u'functionid': u'13080'}]",Disk I/O is overloaded on {HOST.NAME},0,,0,0,0,0,2,13243,0,OS spends significant time waiting for I/O (input/output) operations. It could be indicator of performance issues with storage system.,,{13080}>20
0,"[{u'itemid': u'22689', u'function': u'avg', u'triggerid': u'13275', u'parameter': u'10m', u'functionid': u'13119'}]",Zabbix java poller processes more than 75% busy,0,,0,0,0,0,3,13275,0,,,({TRIGGER.VALUE}=0 and {13119}>75) or ({TRIGGER.VALUE}=1 and {13119}>65)
0,"[{u'itemid': u'23654', u'function': u'max', u'triggerid': u'13285', u'parameter': u'#3', u'functionid': u'13159'}]",Telnet service is down on {HOST.NAME},0,,0,0,0,0,3,13285,0,,,{13159}=0
0,"[{u'itemid': u'22808', u'function': u'last', u'triggerid': u'13295', u'parameter': u'0', u'functionid': u'12682'}]",Baseboard Temp Critical [{ITEM.VALUE}],0,,0,0,0,0,5,13295,0,,,{12682}<5 or {12682}>90
0,"[{u'itemid': u'22808', u'function': u'last', u'triggerid': u'13296', u'parameter': u'0', u'functionid': u'12683'}]",Baseboard Temp Non-Critical [{ITEM.VALUE}],0,,0,0,0,0,4,13296,0,,,{12683}<10 or {12683}>83
0,"[{u'itemid': u'22809', u'function': u'last', u'triggerid': u'13297', u'parameter': u'0', u'functionid': u'12684'}]",BB +1.05V PCH Critical [{ITEM.VALUE}],0,,0,0,0,0,5,13297,0,,,{12684}<0.953 or {12684}>1.149
0,"[{u'itemid': u'22809', u'function': u'last', u'triggerid': u'13298', u'parameter': u'0', u'functionid': u'12685'}]",BB +1.05V PCH Non-Critical [{ITEM.VALUE}],0,,0,0,0,0,4,13298,0,,,{12685}<0.985 or {12685}>1.117
0,"[{u'itemid': u'22810', u'function': u'last', u'triggerid': u'13299', u'parameter': u'0', u'functionid': u'12686'}]",BB +1.1V P1 Vccp Critical [{ITEM.VALUE}],0,,0,0,0,0,5,13299,0,,,{12686}<0.683 or {12686}>1.543
0,"[{u'itemid': u'22810', u'function': u'last', u'triggerid': u'13300', u'parameter': u'0', u'functionid': u'12687'}]",BB +1.1V P1 Vccp Non-Critical [{ITEM.VALUE}],0,,0,0,0,0,4,13300,0,,,{12687}<0.708 or {12687}>1.501
0,"[{u'itemid': u'22811', u'function': u'last', u'triggerid': u'13301', u'parameter': u'0', u'functionid': u'12688'}]",BB +1.5V P1 DDR3 Critical [{ITEM.VALUE}],0,,0,0,0,0,5,13301,0,,,{12688}<1.362 or {12688}>1.635
0,"[{u'itemid': u'22811', u'function': u'last', u'triggerid': u'13302', u'parameter': u'0', u'functionid': u'12689'}]",BB +1.5V P1 DDR3 Non-Critical [{ITEM.VALUE}],0,,0,0,0,0,4,13302,0,,,{12689}<1.401 or {12689}>1.589
0,"[{u'itemid': u'22800', u'function': u'last', u'triggerid': u'13303', u'parameter': u'0', u'functionid': u'12690'}]",BB +1.8V SM Critical [{ITEM.VALUE}],0,,0,0,0,0,5,13303,0,,,{12690}<1.597 or {12690}>2.019
0,"[{u'itemid': u'22800', u'function': u'last', u'triggerid': u'13304', u'parameter': u'0', u'functionid': u'12691'}]",BB +1.8V SM Non-Critical [{ITEM.VALUE}],0,,0,0,0,0,4,13304,0,,,{12691}<1.646 or {12691}>1.960
0,"[{u'itemid': u'22801', u'function': u'last', u'triggerid': u'13305', u'parameter': u'0', u'functionid': u'12692'}]",BB +3.3V Critical [{ITEM.VALUE}],0,,0,0,0,0,5,13305,0,,,{12692}<2.876 or {12692}>3.729
0,"[{u'itemid': u'22812', u'function': u'last', u'triggerid': u'13306', u'parameter': u'0', u'functionid': u'12693'}]",BB +3.3V Critical [{ITEM.VALUE}],0,,0,0,0,0,5,13306,0,,,{12693}<2.982 or {12693}>3.625
0,"[{u'itemid': u'22801', u'function': u'last', u'triggerid': u'13307', u'parameter': u'0', u'functionid': u'12694'}]",BB +3.3V Non-Critical [{ITEM.VALUE}],0,,0,0,0,0,4,13307,0,,,{12694}<2.970 or {12694}>3.618
0,"[{u'itemid': u'22812', u'function': u'last', u'triggerid': u'13308', u'parameter': u'0', u'functionid': u'12695'}]",BB +3.3V Non-Critical [{ITEM.VALUE}],0,,0,0,0,0,4,13308,0,,,{12695}<3.067 or {12695}>3.525
0,"[{u'itemid': u'22802', u'function': u'last', u'triggerid': u'13309', u'parameter': u'0', u'functionid': u'12696'}]",BB +3.3V STBY Critical [{ITEM.VALUE}],0,,0,0,0,0,5,13309,0,,,{12696}<2.876 or {12696}>3.729
0,"[{u'itemid': u'22813', u'function': u'last', u'triggerid': u'13310', u'parameter': u'0', u'functionid': u'12697'}]",BB +3.3V STBY Critical [{ITEM.VALUE}],0,,0,0,0,0,5,13310,0,,,{12697}<2.982 or {12697}>3.625
0,"[{u'itemid': u'22802', u'function': u'last', u'triggerid': u'13311', u'parameter': u'0', u'functionid': u'12698'}]",BB +3.3V STBY Non-Critical [{ITEM.VALUE}],0,,0,0,0,0,4,13311,0,,,{12698}<2.970 or {12698}>3.618
0,"[{u'itemid': u'22813', u'function': u'last', u'triggerid': u'13312', u'parameter': u'0', u'functionid': u'12699'}]",BB +3.3V STBY Non-Critical [{ITEM.VALUE}],0,,0,0,0,0,4,13312,0,,,{12699}<3.067 or {12699}>3.525
0,"[{u'itemid': u'22814', u'function': u'last', u'triggerid': u'13313', u'parameter': u'0', u'functionid': u'12700'}]",BB +5.0V Critical [{ITEM.VALUE}],0,,0,0,0,0,5,13313,0,,,{12700}<4.471 or {12700}>5.538
0,"[{u'itemid': u'22803', u'function': u'last', u'triggerid': u'13314', u'parameter': u'0', u'functionid': u'12701'}]",BB +5.0V Critical [{ITEM.VALUE}],0,,0,0,0,0,5,13314,0,,,{12701}<4.362 or {12701}>5.663
0,"[{u'itemid': u'22814', u'function': u'last', u'triggerid': u'13315', u'parameter': u'0', u'functionid': u'12702'}]",BB +5.0V Non-Critical [{ITEM.VALUE}],0,,0,0,0,0,4,13315,0,,,{12702}<4.630 or {12702}>5.380
0,"[{u'itemid': u'22803', u'function': u'last', u'triggerid': u'13316', u'parameter': u'0', u'functionid': u'12703'}]",BB +5.0V Non-Critical [{ITEM.VALUE}],0,,0,0,0,0,4,13316,0,,,{12703}<4.483 or {12703}>5.495
0,"[{u'itemid': u'22804', u'function': u'last', u'triggerid': u'13317', u'parameter': u'0', u'functionid': u'12704'}]",BB Ambient Temp Critical [{ITEM.VALUE}],0,,0,0,0,0,5,13317,0,,,{12704}<5 or {12704}>66
0,"[{u'itemid': u'22804', u'function': u'last', u'triggerid': u'13318', u'parameter': u'0', u'functionid': u'12705'}]",BB Ambient Temp Non-Critical [{ITEM.VALUE}],0,,0,0,0,0,4,13318,0,,,{12705}<10 or {12705}>61
0,"[{u'itemid': u'22815', u'function': u'last', u'triggerid': u'13319', u'parameter': u'0', u'functionid': u'12706'}]",Front Panel Temp Critical [{ITEM.VALUE}],0,,0,0,0,0,5,13319,0,,,{12706}<0 or {12706}>48
0,"[{u'itemid': u'22815', u'function': u'last', u'triggerid': u'13320', u'parameter': u'0', u'functionid': u'12707'}]",Front Panel Temp Non-Critical [{ITEM.VALUE}],0,,0,0,0,0,4,13320,0,,,{12707}<5 or {12707}>44
0,"[{u'itemid': u'22816', u'function': u'last', u'triggerid': u'13321', u'parameter': u'0', u'functionid': u'12708'}]",Power,0,,0,0,0,0,2,13321,0,,,{12708}=0
0,"[{u'itemid': u'22805', u'function': u'last', u'triggerid': u'13322', u'parameter': u'0', u'functionid': u'12709'}]",Power,0,,0,0,0,0,2,13322,0,,,{12709}=0
0,"[{u'itemid': u'22817', u'function': u'last', u'triggerid': u'13323', u'parameter': u'0', u'functionid': u'12710'}]",System Fan 2 Critical [{ITEM.VALUE}],0,,0,0,0,0,5,13323,0,,,{12710}<324
0,"[{u'itemid': u'22817', u'function': u'last', u'triggerid': u'13324', u'parameter': u'0', u'functionid': u'12711'}]",System Fan 2 Non-Critical [{ITEM.VALUE}],0,,0,0,0,0,4,13324,0,,,{12711}<378
0,"[{u'itemid': u'22818', u'function': u'last', u'triggerid': u'13325', u'parameter': u'0', u'functionid': u'12712'}]",System Fan 3 Critical [{ITEM.VALUE}],0,,0,0,0,0,5,13325,0,,,{12712}<324
0,"[{u'itemid': u'22818', u'function': u'last', u'triggerid': u'13326', u'parameter': u'0', u'functionid': u'12713'}]",System Fan 3 Non-Critical [{ITEM.VALUE}],0,,0,0,0,0,4,13326,0,,,{12713}<378
0,"[{u'itemid': u'22819', u'function': u'last', u'triggerid': u'13327', u'parameter': u'0', u'functionid': u'13155'}]",MySQL is down,0,,0,0,0,0,5,13327,0,,,{13155}=0
0,"[{u'itemid': u'22833', u'function': u'nodata', u'triggerid': u'13328', u'parameter': u'5m', u'functionid': u'12715'}]",Zabbix agent on {HOST.NAME} is unreachable for 5 minutes,0,,0,13025,0,0,3,13328,0,,,{12715}=1
0,"[{u'itemid': u'22834', u'function': u'diff', u'triggerid': u'13329', u'parameter': u'0', u'functionid': u'12929'}]",Version of zabbix_agent(d) was changed on {HOST.NAME},0,,0,13026,0,0,1,13329,0,,,{12929}>0
0,"[{u'itemid': u'22835', u'function': u'last', u'triggerid': u'13330', u'parameter': u'0', u'functionid': u'12717'}]",Configured max number of opened files is too low on {HOST.NAME},0,,0,0,0,0,1,13330,0,,,{12717}<1024
0,"[{u'itemid': u'22836', u'function': u'last', u'triggerid': u'13331', u'parameter': u'0', u'functionid': u'12718'}]",Configured max number of processes is too low on {HOST.NAME},0,,0,0,0,0,1,13331,0,,,{12718}<256
0,"[{u'itemid': u'22837', u'function': u'avg', u'triggerid': u'13332', u'parameter': u'5m', u'functionid': u'13089'}]",Too many processes running on {HOST.NAME},0,,0,0,0,0,2,13332,0,,,{13089}>30
0,"[{u'itemid': u'22838', u'function': u'avg', u'triggerid': u'13333', u'parameter': u'5m', u'functionid': u'13088'}]",Too many processes on {HOST.NAME},0,,0,0,0,0,2,13333,0,,,{13088}>300
0,"[{u'itemid': u'22842', u'function': u'avg', u'triggerid': u'13334', u'parameter': u'5m', u'functionid': u'13087'}]",Processor load is too high on {HOST.NAME},0,,0,0,0,0,2,13334,0,,,{13087}>5
0,"[{u'itemid': u'22853', u'function': u'diff', u'triggerid': u'13336', u'parameter': u'0', u'functionid': u'12723'}]",Hostname was changed on {HOST.NAME},0,,0,0,0,0,1,13336,0,,,{12723}>0
0,"[{u'itemid': u'22856', u'function': u'last', u'triggerid': u'13337', u'parameter': u'0', u'functionid': u'12724'}]",Lack of free swap space on {HOST.NAME},0,,0,0,0,0,2,13337,0,It probably means that the systems requires more physical memory.,,{12724}<50
0,"[{u'itemid': u'22858', u'function': u'diff', u'triggerid': u'13338', u'parameter': u'0', u'functionid': u'12725'}]",Host information was changed on {HOST.NAME},0,,0,0,0,0,1,13338,0,,,{12725}>0
0,"[{u'itemid': u'22859', u'function': u'change', u'triggerid': u'13339', u'parameter': u'0', u'functionid': u'12726'}]",{HOST.NAME} has just been restarted,0,,0,0,0,0,1,13339,0,,,{12726}<0
0,"[{u'itemid': u'22861', u'function': u'diff', u'triggerid': u'13340', u'parameter': u'0', u'functionid': u'12727'}]",/etc/passwd has been changed on {HOST.NAME},0,,0,0,0,0,2,13340,0,,,{12727}>0
0,"[{u'itemid': u'22862', u'function': u'last', u'triggerid': u'13341', u'parameter': u'0', u'functionid': u'12728'}]",Lack of available memory on server {HOST.NAME},0,,0,0,0,0,3,13341,0,,,{12728}<20M
0,"[{u'itemid': u'22873', u'function': u'nodata', u'triggerid': u'13344', u'parameter': u'5m', u'functionid': u'12731'}]",Zabbix agent on {HOST.NAME} is unreachable for 5 minutes,0,,0,13025,0,0,3,13344,0,,,{12731}=1
0,"[{u'itemid': u'22874', u'function': u'diff', u'triggerid': u'13345', u'parameter': u'0', u'functionid': u'12930'}]",Version of zabbix_agent(d) was changed on {HOST.NAME},0,,0,13026,0,0,1,13345,0,,,{12930}>0
0,"[{u'itemid': u'22875', u'function': u'last', u'triggerid': u'13346', u'parameter': u'0', u'functionid': u'12733'}]",Configured max number of opened files is too low on {HOST.NAME},0,,0,0,0,0,1,13346,0,,,{12733}<1024
0,"[{u'itemid': u'22876', u'function': u'last', u'triggerid': u'13347', u'parameter': u'0', u'functionid': u'12734'}]",Configured max number of processes is too low on {HOST.NAME},0,,0,0,0,0,1,13347,0,,,{12734}<256
0,"[{u'itemid': u'22877', u'function': u'avg', u'triggerid': u'13348', u'parameter': u'5m', u'functionid': u'13074'}]",Too many processes running on {HOST.NAME},0,,0,0,0,0,2,13348,0,,,{13074}>30
